ID_Institution,Nom Institution
619,BRANDEIS UNIVERSITY
620,SCHOOL OF THE MUSEUM OF FINE ARTS-BOSTON
621,GREENFIELD COMMUNITY COLLEGE
622,SUFFOLK UNIVERSITY
623,HOLYOKE COMMUNITY COLLEGE
624,WHEELOCK COLLEGE
625,TUFTS UNIVERSITY
626,BRIDGEWATER STATE UNIVERSITY
627,LASELL COLLEGE
628,SPRINGFIELD COLLEGE
629,SALEM STATE UNIVERSITY
630,TOWSON UNIVERSITY
631,"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY"
632,ANNE ARUNDEL COMMUNITY COLLEGE
633,HOWARD COMMUNITY COLLEGE
634,UNIVERSITY OF MARYLAND AT COLLEGE PARK
635,SALISBURY UNIVERSITY
636,CARROLL COMMUNITY COLLEGE
637,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE
638,SAINT MARY'S COLLEGE OF MARYLAND
639,COPPIN STATE UNIVERSITY
640,MARYLAND INSTITUTE COLLEGE OF ART
641,BOWIE STATE UNIVERSITY
642,UNIVERSITY OF MARYLAND AT BALTIMORE
643,ST JOHN'S COLLEGE OF NURSING
