ID_Finance,Tax_Period,Chiffre_Affaires,Benefice,RefEmployer
8559,NULL,NULL,NULL,726000820
8560,2014-07-30,484796,461471,581945773
8561,2013-12-30,369057,365390,721115596
8562,2014-12-30,247852,188068,453788694
8563,2013-09-30,6415045,6415045,742766663
8564,2011-12-30,0,0,311592474
8565,2013-12-30,0,0,271177778
8566,2013-07-30,578415161,191917406,720408946
8567,NULL,NULL,NULL,300254308
8568,2013-12-30,0,0,721314239
8569,2013-06-30,4669967,4470980,720798830
8570,2014-12-30,0,0,800463317
8571,NULL,NULL,NULL,721429360
8572,2014-06-30,0,0,412046914
8573,2013-12-30,91000,91000,134347357
8574,NULL,NULL,NULL,721303877
8575,2014-12-30,0,0,720920271
8576,2013-12-30,3952,3107,273325293
8577,NULL,NULL,NULL,720825061
8578,2014-06-30,141622,127537,721399700
8579,NULL,NULL,NULL,721380259
8580,2013-12-30,134690,134145,720750051
8581,2014-07-30,0,0,582437448
8582,NULL,NULL,NULL,721499807
8583,NULL,NULL,NULL,720838129
8584,NULL,NULL,NULL,726000751
8585,2013-08-30,0,0,721164905
8586,2014-12-30,0,0,392067032
8587,2014-12-30,0,0,721250949
8588,2014-12-30,0,0,20672814
8589,2013-12-30,474615,410038,720642810
8590,2013-12-30,2324,2324,260247671
8591,NULL,NULL,NULL,581859606
8592,NULL,NULL,NULL,931119117
8593,2013-12-30,0,0,720927740
8594,NULL,NULL,NULL,721338246
8595,NULL,NULL,NULL,581618389
8596,2011-12-30,0,0,262805254
8597,2013-12-30,49827,49827,720795358
8598,2013-12-30,0,0,721429138
8599,2013-12-30,0,0,721159238
8600,2013-12-30,370890,NULL,263906868
8601,2012-12-30,51702,49206,237080353
8602,2013-12-30,188341,185489,581799472
8603,2013-12-30,0,0,721273453
8604,2014-12-30,37978,37978,275004125
8605,NULL,NULL,NULL,721385581
8606,2014-03-30,0,0,721353649
8607,2012-12-30,0,0,300134254
8608,NULL,NULL,NULL,721253288
8609,2013-12-30,0,0,237337903
8610,2013-12-30,0,0,720807944
8611,2013-12-30,0,0,721286878
8612,2014-12-30,0,0,208958288
8613,2013-12-30,0,0,721476768
8614,2013-12-30,89751,74267,311642772
8615,2013-12-30,21702,16306,721396642
8616,2013-12-30,205178,185064,720590356
8617,NULL,NULL,NULL,200372868
8618,2013-12-30,492389,492380,721243629
8619,NULL,NULL,NULL,726012995
8620,2013-12-30,100785,100785,581904910
8621,NULL,NULL,NULL,721022312
8622,2013-12-30,45781,45781,460500351
8623,2013-12-30,0,0,720978174
8624,2014-08-30,55719,42745,582679215
8625,2014-12-30,0,0,721194290
8626,2014-12-30,0,0,166567591
8627,NULL,NULL,NULL,726001670
8628,2013-12-30,0,0,264296669
8629,2013-12-30,640461,640461,731701786
8630,2014-04-30,0,0,270592607
8631,2013-12-30,0,0,721432290
8632,2014-04-30,76587,76587,726027428
8633,2013-10-30,280764,262068,237086419
8634,2013-12-30,488220,458073,721200018
8635,2013-12-30,100874,100874,453612367
8636,2014-12-30,1,NULL,721327207
8637,NULL,NULL,NULL,721306180
8638,2014-12-30,0,0,471331370
8639,2013-12-30,60015,60015,237433587
8640,2013-12-30,1125760,849861,581638039
8641,2013-12-30,172724,156669,720993317
8642,NULL,NULL,NULL,720925965
8643,2013-12-30,4859017,2472020,720542138
8644,2013-12-30,15019,15019,721155668
8645,2013-12-30,3516451,3332789,720929068
8646,2013-12-30,21219,21219,201840863
8647,NULL,NULL,NULL,721472068
8648,2014-12-30,0,0,271491779
8649,2014-06-30,0,0,201267254
8650,2013-10-30,43093,39721,720545987
8651,2013-12-30,0,0,720974240
8652,2013-12-30,187751,168891,720573491
8653,NULL,NULL,NULL,721309672
8654,NULL,NULL,NULL,721229671
8655,NULL,NULL,NULL,726034744
8656,2013-12-30,58420,58420,581946943
